,user_id,song_id,listen_count,title,release,artist_name,year,song
8879,ae99321be6e9a79bb9c2dd4b2aa8b49fdb9efdf8,SOPQJAZ12A6310F168,1,Who Wants To Live Forever (With Commentary),Absolute Greatest (Includes track by track commentary),Queen,2009,Who Wants To Live Forever (With Commentary) - Queen
1003,bd8475385f0aa78830fa6dfce9e7242164b035c8,SOWEJXA12A6701C574,2,Fix You,X & Y,Coldplay,2005,Fix You - Coldplay
5676,1b704d4cddabea8258bd93497fcb73eab32fa592,SOZRNEK12A6D4F8FA7,1,GASOLINE&MATCHES,The world is happy now,Stijn,0,GASOLINE&MATCHES - Stijn
4853,06b31818386e598017a475f8e349b3ca31ba3178,SOWPAOX12AF72A161B,14,You Never Let Go,The Best Of Passion (So Far),Matt Redman,2006,You Never Let Go - Matt Redman
8946,0dd93f61fe69f292ac336715ef607214efb3dbaa,SOKUPAO12AB018D576,2,The Only Exception (Album Version),The Only Exception,Paramore,0,The Only Exception (Album Version) - Paramore
9038,3fd3acaa8dfeb94b0602a33085b44ebe80545dd2,SONQBUB12A6D4F8ED0,1,Angie (1993 Digital Remaster),Jump Back - The Best Of The Rolling Stones_ '71-'93,The Rolling Stones,0,Angie (1993 Digital Remaster) - The Rolling Stones
3042,95942345306393998eb3a051ae5fa3c4d5afbaa4,SOCPKKM12AB01877B5,2,Percussion Gun,Friday Night Lights Vol. 2 (Original Television Soundtrack),White Rabbits,2009,Percussion Gun - White Rabbits
8277,fe76c9d535c5834e4a9b91c13e29be6460cb79c4,SODJKMC12A8C137EC0,1,What You Thought You Need,Sleep Through The Static,Jack Johnson,2008,What You Thought You Need - Jack Johnson
5979,adbd40c4f3fe78e7f49f491ea04859ea07de1ed1,SOLXTPE12A8C13BCE2,3,From Left To Right,Corymb,Boom Bip,2003,From Left To Right - Boom Bip
2075,732f88be38fae217f8ab7e24c20dd072436e3e40,SOLPVAQ12AB017EB35,18,All Men Are Liars,Quiet Please... The New Best Of Nick Lowe,Nick Lowe,0,All Men Are Liars - Nick Lowe
4482,18dc95f354220b343e98ebbb7c8564291284ed9f,SOPVQLJ12A67AE2281,1,In The End (Album Version),Hybrid Theory,Linkin Park,2000,In The End (Album Version) - Linkin Park
7382,94d5bdc37683950e90c56c9b32721edb5d347600,SOWKSFG12A8C13E535,1,Torn,Love Song,Natalie Imbruglia,1997,Torn - Natalie Imbruglia
1563,d66f2f66f2bdc9aa3d0362a35fc91ccc844101f7,SOFMSQB12AC4687686,3,Seven,Seven,Fever Ray,2009,Seven - Fever Ray
8218,781d38e5e6029826707b207d7c2ef5c120fa36ed,SOWVNWB12A8C133171,1,Transmission,Let The Movie Begin,Joy Division,1979,Transmission - Joy Division
3429,8ee90038724c4957eb4df16f3e9c6ed2b570a3ec,SORIEXB12A6D4F824D,1,No Remorse,Kill 'Em All,Metallica,1983,No Remorse - Metallica
2118,732f88be38fae217f8ab7e24c20dd072436e3e40,SOSXLTC12AF72A7F54,1,Revelry,Only By The Night,Kings Of Leon,2008,Revelry - Kings Of Leon
1362,c2934b29d64e467297c608351ed9695ce62128bc,SOVIFRY12AB017B114,1,Visions,In Ghost Colours,Cut Copy,2008,Visions - Cut Copy
8316,fe76c9d535c5834e4a9b91c13e29be6460cb79c4,SOMAIEW12A6D4F591E,3,Mama Said,Load,Metallica,1996,Mama Said - Metallica
3078,95942345306393998eb3a051ae5fa3c4d5afbaa4,SOMXPHT12AB0182BE7,1,Ghost At The Foot Of The Bed,Hell Train,Soltero,0,Ghost At The Foot Of The Bed - Soltero
3719,176b5e98c1f01dba146ce8c6e15cf6fc344485ec,SORRCNC12A8C13FDA9,1,Is This It,Is This It,The Strokes,2001,Is This It - The Strokes
3411,8ee90038724c4957eb4df16f3e9c6ed2b570a3ec,SOASMDJ12A6D4F6CDF,1,Automobile (Feat. Eazy-E),EFIL4ZAGGIN,N.W.A featuring Eazy-E,0,Automobile (Feat. Eazy-E) - N.W.A featuring Eazy-E
8494,dd67a78d5f9d8140a0d83849441ca1807f7ea790,SOWNVJP12A58A761AA,2,Doesn't Mean Anything,Doesn't Mean Anything,Alicia Keys,2009,Doesn't Mean Anything - Alicia Keys
8193,ea3b77e3f9b5688dc3998b2e706ea2c0ca48b8eb,SOHNVHC12A6D4F95AB,1,Elephant Gun,The Gulag Orkestar,Beirut,2006,Elephant Gun - Beirut
2521,62f2f9b881dc320d745a90c0c10528d18e10deb1,SOTQTRW12A58A7B996,1,Café Del Mar,Café Del Mar,Energy 52,1997,Café Del Mar - Energy 52
3803,884209a41deb55df792f074bccf8af1c1c31768b,SOGPMUO12A6D4F6D31,1,She's Good For Business,The Looks,MSTRKRFT,2006,She's Good For Business - MSTRKRFT
9226,22d652f8891ba2186a4ce3ee8de7c192148108ef,SOMVMVF12AB018C9A6,13,Unknown Brother,Brothers,The Black Keys,2010,Unknown Brother - The Black Keys
4730,85952991b8e3ca5803a08b0b2f9c6d71abf9bb5b,SOPBRJY12AF72A4440,1,I Gotta Feeling (FMIF Remix Edit),One Love,Black Eyed Peas,2009,I Gotta Feeling (FMIF Remix Edit) - Black Eyed Peas
3202,2f343c8bd0502c4cf851a6970e47d296a4b76d5b,SOUVTSM12AC468F6A7,1,Drop The World,Drop The World,Lil Wayne / Eminem,0,Drop The World - Lil Wayne / Eminem
8648,fd585aef5c32d3943bd6e7f9f39aa216ba659fd0,SOLSJHM12A8C139B46,1,Can't Make You Love Me,Oops!... I Did It Again,Britney Spears,2000,Can't Make You Love Me - Britney Spears
440,5a905f000fc1ff3df7ca807d57edb608863db05d,SOFSPAT12A8C145F53,1,Your Touch,Magic Potion,The Black Keys,2006,Your Touch - The Black Keys
9332,97e48f0f188e04dcdb0f8e20a29dacb881d80c9e,SOBLTMH12A6D4FA44D,1,The Flowers (Album Version),Soviet Kitsch,Regina Spektor,2004,The Flowers (Album Version) - Regina Spektor
9239,22d652f8891ba2186a4ce3ee8de7c192148108ef,SOSFSWB12AB018C99A,12,Too Afraid To Love,Brothers,The Black Keys,2010,Too Afraid To Love - The Black Keys
5669,1b704d4cddabea8258bd93497fcb73eab32fa592,SOXYWQM12A6D4F970A,2,Poison,End Of Days,The Prodigy,1994,Poison - The Prodigy
944,bd8475385f0aa78830fa6dfce9e7242164b035c8,SOJCAVK12A8151B805,1,Superstition,Keep On Your Mean Side,The Kills,2003,Superstition - The Kills
6885,4208d4ac45e7caab7167a4ea6d34e759a6b9a1fc,SOEBOWM12AB017F279,19,Hotel California,Hotel California / Pretty Maids All In A Row [Digital 45],Eagles,1976,Hotel California - Eagles
2701,179b2286bb4eea7193bcfa0c36fcfa4eade2b34d,SOVDSJC12A58A7A271,2,Ain't Misbehavin,Summertime,Sam Cooke,0,Ain't Misbehavin - Sam Cooke
2707,b61afb42335287239bd40e1dea50d849cbf8a9a9,SOALPEC12AB0185D8F,1,Bad Sneakers,The Very Best Of Steely Dan,Steely Dan,1975,Bad Sneakers - Steely Dan
633,5a905f000fc1ff3df7ca807d57edb608863db05d,SORVYXQ12AB018C994,1,The Only One,Brothers,The Black Keys,2010,The Only One - The Black Keys
7163,53659e6ae51d163d5de5709c53707df87a669cfb,SOJSFUH12AB018B9E0,1,Ugly Girls,Natural,Kalle Baah,1992,Ugly Girls - Kalle Baah
6967,3851d01aa9d1b2505fa361b63940e8cdc9a3e754,SORWLJM12A6D4F9C0C,2,Crazy Bitch (Album Version),15,Buckcherry,2006,Crazy Bitch (Album Version) - Buckcherry
1755,b41ead730ac14f6b6717b9cf8859d5579f3f8d4d,SOBTVDE12AF72A3DE5,1,Wish You Were Here,Morning View,Incubus,2001,Wish You Were Here - Incubus
9836,a8268c552c1122626ba8ab4d7cf2f799de7931b2,SOSVEAD12A8AE46FFA,5,Smothered (Album Version),Self-Destructive Pattern,Spineshank,2003,Smothered (Album Version) - Spineshank
3471,b44a7b18e5861d6b5c0094e43239191cbe5ff4e1,SOGTMRB12A6D4F6B41,1,Joanna Foxtrot (Music for Dancing),Dancebeat 2,Tony Evans,0,Joanna Foxtrot (Music for Dancing) - Tony Evans
7969,dde4fa01de271d51a4a5617ae79820cee7d26d96,SOMAUXP12AB018051D,1,Flaca,Andres CD1,Andres Calamaro,1997,Flaca - Andres Calamaro
6917,4208d4ac45e7caab7167a4ea6d34e759a6b9a1fc,SOWTCLZ12A8AE4572F,1,Drifting Away,Ministry of Sound Presents Chilled II 1991-2009,Faithless,1996,Drifting Away - Faithless
743,5a905f000fc1ff3df7ca807d57edb608863db05d,SOZUNWX12A81C221F3,2,Forest Families,Silent Shout,The Knife,0,Forest Families - The Knife
1815,99b5f915dd56a0150eb91605e1f6109e1e80c9de,SOCGYWW12A8C13BB00,1,I'll Do Anything (LP Version),Waiting For My Rocket To Come,Jason Mraz,2002,I'll Do Anything (LP Version) - Jason Mraz
4140,399793ee5842e6f5b0b7f04fa5ec402454e2fe34,SOPXKYD12A6D4FA876,2,Yellow,Yellow,Coldplay,2000,Yellow - Coldplay
1044,403b3b867fc71dfdcc12652f30e88bdc7ccd9aa4,SOCXBTX12A8C132F5A,1,Shadow Stabbing,Comfort Eagle,Cake,2001,Shadow Stabbing - Cake
2495,9fba771d9731561eba47216f6fbfc0023d88641b,SOUNNWW12AB018795D,2,Opposite Of Adults,Now That's What I Call Music! 75,Chiddy Bang,2009,Opposite Of Adults - Chiddy Bang
6863,bcb944b714cd54d7e263b21c49074d6a147479a1,SONQCXC12A6D4F6A37,5,Strut (1993 Digital Remaster),The World Of Sheena Easton - The Singles,Sheena Easton,0,Strut (1993 Digital Remaster) - Sheena Easton
4247,8dcb524ff75e0ad0f0a80aaccadf7bbaa3b89a41,SOEELLZ12AB0184A05,1,Black Betty,Original Hits - Pub Jukebox,Ram Jam,1977,Black Betty - Ram Jam
9509,8bde0ae3eda6b6f26c8a91eb5750d416acb3d508,SOGGNRH12A6310E1B0,1,Mysterious Ways,Mysterious Ways,U2,1991,Mysterious Ways - U2
1063,f84f5b5a5c5d1d9fb4866f6488e0d2661b54c192,SOJDJPF12AF729D6F4,1,Video Girl,A Little Bit Longer,Jonas Brothers,2008,Video Girl - Jonas Brothers
8499,dd67a78d5f9d8140a0d83849441ca1807f7ea790,SOZVVRE12A8C143150,5,Greece 2000,Greece 2000,Three Drives,1997,Greece 2000 - Three Drives
2946,07caa920795cd4f20bfeeb0e192a5ddd9566ecdd,SOWNIUS12A8C142815,1,McFearless,Because Of The Times,Kings Of Leon,2007,McFearless - Kings Of Leon
8540,e6fbcdd689ac0e85992536933f1f86503310447f,SOUINFV12A6D4F7DEB,1,Word Up,Word Up,Cameo,1986,Word Up - Cameo
2873,3ff7a31452eeabd7a4e07f0d243c674e3d0adf46,SOYTZBN12AB0187A0C,5,FANTASY,The Remixes,Mariah Carey,1995,FANTASY - Mariah Carey
1112,2c42e6551311710ca5a839d62058820a42ead493,SOFPJGB12A8C143EA1,1,When You're Gone,When You're Gone,Avril Lavigne,2007,When You're Gone - Avril Lavigne
2475,9fba771d9731561eba47216f6fbfc0023d88641b,SOJDXLI12AF72ABB7E,31,Bang On The Drum,Hello It's Me,Todd Rundgren,1993,Bang On The Drum - Todd Rundgren
6145,3fef4e71c70ae99ef8a4da00e431f9cdb2b1b729,SOVDSTI12A8C145B85,11,Black River Killer (Album),Furr,Blitzen Trapper,2008,Black River Killer (Album) - Blitzen Trapper
8833,e507a8acd03bbd1f6c2088bd70a0ab2ffb277cd7,SOEHLKV12A582915A8,11,Microphones in the Trees,Pretty Little Lightning Paw,Thee Silver Mountain Reveries,2004,Microphones in the Trees - Thee Silver Mountain Reveries
8124,6ebd0e701753b9573d479bd53811a8788dba09d9,SOAXGDH12A8C13F8A1,1,Dog Days Are Over (Radio Edit),Now That's What I Call Music! 75,Florence + The Machine,0,Dog Days Are Over (Radio Edit) - Florence + The Machine
8705,c24ec42f0e449ff39a95a01f0795f833b898f71b,SOFRQTD12A81C233C0,2,Sehr kosmisch,Musik von Harmonia,Harmonia,0,Sehr kosmisch - Harmonia
4804,2341121b6d6d2020303f02053dad60586e41034d,SOHZPIK12A58A7CCAE,2,Te Amo,Rated R,Rihanna,2009,Te Amo - Rihanna
6760,e3937c7c32f5b68422808a854a4a7a824ee448a5,SOXCZGH12A8C13C4FE,1,Use It,Twin Cinema,The New Pornographers,2005,Use It - The New Pornographers
979,bd8475385f0aa78830fa6dfce9e7242164b035c8,SOSDATG12AB018A8F1,1,Tessellate,Elephant Shell,Tokyo Police Club,2008,Tessellate - Tokyo Police Club
420,5a905f000fc1ff3df7ca807d57edb608863db05d,SOELGCG12AB0188C92,1,Reversing,There Is Love In You,Four Tet,2010,Reversing - Four Tet
156,b64cdd1a0bd907e5e00b39e345194768e330d652,SOLQYOG12B0B80BA71,2,The Prime Time Of Your Life,Human After All,Daft Punk,2005,The Prime Time Of Your Life - Daft Punk
3814,884209a41deb55df792f074bccf8af1c1c31768b,SOISTCC12A67ADA6D4,2,Brianstorm,Favourite Worst Nightmare,Arctic Monkeys,2007,Brianstorm - Arctic Monkeys
7586,54028f08e511355e130c47236a7496091005b9f7,SOTGFZL12AB0184F7D,1,Uptown,So Far Gone,Drake / Bun B / Lil Wayne,0,Uptown - Drake / Bun B / Lil Wayne
1127,2c42e6551311710ca5a839d62058820a42ead493,SOSJGZM12AF72A377E,1,La Perla,Los De Atrás Vienen Conmigo,Calle 13 Feat. Rubén Blades Y La Chilinga,2008,La Perla - Calle 13 Feat. Rubén Blades Y La Chilinga
6436,116a4c95d63623a967edf2f3456c90ebbf964e6f,SOJJYDE12AF729FC16,2,Two Is Better Than One,Love Drunk,Boys Like Girls featuring Taylor Swift,2009,Two Is Better Than One - Boys Like Girls featuring Taylor Swift
4874,25fc0200450bbf726c8511fabe31ecfdb81732eb,SOILFUU12AB017C75F,8,I'm Not Calling You A Liar,Lungs,Florence + The Machine,2009,I'm Not Calling You A Liar - Florence + The Machine
3348,b1269307f2ae8c17062c6aea2502b099aad517b6,SOMMJUQ12AF72A5931,2,Your Protector,Fleet Foxes,Fleet Foxes,2008,Your Protector - Fleet Foxes
6568,8fce200f3912e9608e3b1463cdb9c3529aab5c08,SOHYHMJ12A6D4F615E,1,The Best Of Times,20th Century Masters: The Millennium Collection: Best Of Styx,Styx,1981,The Best Of Times - Styx
407,5a905f000fc1ff3df7ca807d57edb608863db05d,SODRLEQ12A6701F953,1,Saturdays,Bright Like Neon Love,Cut Copy,2004,Saturdays - Cut Copy
8784,c24ec42f0e449ff39a95a01f0795f833b898f71b,SORWJSF12A8C138AB6,2,Hello,Fallen,Evanescence,2003,Hello - Evanescence
321,d6589314c0a9bcbca4fee0c93b14bc402363afea,SOLFXKT12AB017E3E0,7,Fireflies,Karaoke Monthly Vol. 2 (January 2010),Charttraxx Karaoke,2009,Fireflies - Charttraxx Karaoke
6616,cc55e399781439435a046bcb1a4c78dc2c7ec0f3,SOQOAGD12AB01809FB,1,High On The Heels,Rules,The Whitest Boy Alive,2009,High On The Heels - The Whitest Boy Alive
2731,b61afb42335287239bd40e1dea50d849cbf8a9a9,SOHFVJR12AF72A9805,1,Holdin' On Together,Alphabetical,Phoenix,0,Holdin' On Together - Phoenix
6384,b96f2a9cbd9d86b4f9f15978dd3abbdfafe26502,SOZDTJE12A6701F2FE,1,For Once In My Life (Album Version),Michael Bublé,Michael Bublé,2003,For Once In My Life (Album Version) - Michael Bublé
4375,e4c05157f8cebdf3b9d689c441ba97c5ed5db05b,SOSEUUV12A6701E93C,1,No One Knows,I Am Angry,Queens Of The Stone Age,2002,No One Knows - Queens Of The Stone Age
1538,484b69dd013df1ec0cfd504886d4f647cb32b08f,SOTMTGS12A6D4F74BD,1,Somebody's Watching Me,The Weekend,Rockwell,1983,Somebody's Watching Me - Rockwell
4475,18dc95f354220b343e98ebbb7c8564291284ed9f,SOOVXOV12A6D4F7450,3,One Way Ticket [Radio Edit],One Way Ticket,The Darkness,2005,One Way Ticket [Radio Edit] - The Darkness
3063,95942345306393998eb3a051ae5fa3c4d5afbaa4,SOIFDQD12AB01822F5,1,Busted,The Big Come Up,The Black Keys,2002,Busted - The Black Keys
5357,37029a65b9925fb3c1964774fcab695b82955f76,SOJPYXL12A8C13359C,1,The Game (Amended Version),The Sickness,Disturbed,2000,The Game (Amended Version) - Disturbed
7928,9c4e14bbd043846b632d3737f08104dcaeb88142,SOSNOSA12A67ADA05B,1,Woman,NME Presents Essential Bands 2006,Wolfmother,2004,Woman - Wolfmother
4525,18dc95f354220b343e98ebbb7c8564291284ed9f,SOYIYFF12A6701D22F,2,Mr. Brownstone,Live Era '87-'93,Guns N' Roses,1987,Mr. Brownstone - Guns N' Roses
2917,07caa920795cd4f20bfeeb0e192a5ddd9566ecdd,SOHTKMO12AB01843B0,8,Catch You Baby (Steve Pitron & Max Sanna Radio Edit),Catch You Baby,Lonnie Gordon,0,Catch You Baby (Steve Pitron & Max Sanna Radio Edit) - Lonnie Gordon
2528,b4e32cdb654ab914a0ac73d2bbc5cae142da405a,SODJWHY12A8C142CCE,1,Hey_ Soul Sister,Save Me_ San Francisco,Train,0,Hey_ Soul Sister - Train
4598,2475b003df9c084c1488b2e63666e8cc87112180,SOMYFOB12AAA15FD4F,2,Hard Headed Woman,The Very Best Of Cat Stevens,Cat Stevens,1970,Hard Headed Woman - Cat Stevens
3754,884209a41deb55df792f074bccf8af1c1c31768b,SOAPIHX12AB0184CB1,1,Auto-Dub,Skream!,Skream,2006,Auto-Dub - Skream
3073,95942345306393998eb3a051ae5fa3c4d5afbaa4,SOLOFYI12A8C145F8D,7,Heart Shaped Box,In Utero,Nirvana,0,Heart Shaped Box - Nirvana
5853,fb41d1c374d093ab643ef3bcd70eeb258d479076,SOBONKR12A58A7A7E0,1,You're The One,If There Was A Way,Dwight Yoakam,1990,You're The One - Dwight Yoakam
4908,e21477efb83bd323205ce6f5bd662f3df9d477e5,SOAQTNT12A6701F957,2,That Was Just A Dream,Bright Like Neon Love,Cut Copy,2004,That Was Just A Dream - Cut Copy
5768,2e37aa820994c7e8465721a6a6ee78f48fc4df7a,SOBJDDA12A6BD53159,5,Long Black Road,Pubs_ Trucks & Plains,Slim Dusty,2007,Long Black Road - Slim Dusty
3730,ed3664f9cd689031fe4d0ed6c66503bdc3ad7cb6,SOSFUQL12AB017D0F3,2,Ricordati Di Noi,Valerio Scanu,Valerio Scanu,0,Ricordati Di Noi - Valerio Scanu
9675,b12c786deef0e618b5f277bc337f67128f425efe,SOBZCTQ12AB0183220,1,Love,Attack Decay Sustain Release,Simian Mobile Disco,2007,Love - Simian Mobile Disco
3635,5d5e0142e54c3bb7b69f548c2ee55066c90700eb,SORFASW12A81C22AE7,2,Stronger,Graduation,Kanye West,2007,Stronger - Kanye West
4519,18dc95f354220b343e98ebbb7c8564291284ed9f,SOWVEND12AB0183608,3,Runnin Down A Dream,Tom Petty And The Heartbreakers Live Anthology,Tom Petty And The Heartbreakers,0,Runnin Down A Dream - Tom Petty And The Heartbreakers
6563,8fce200f3912e9608e3b1463cdb9c3529aab5c08,SOEMUXL12A58A7B848,1,Rehab,Hip Hop The Collection 2009,Rihanna,2007,Rehab - Rihanna
2984,15415fa2745b344bce958967c346f2a89f792f63,SOHQTKJ12A8AE46A88,2,Annihilation By The Hands Of God (Album Version),The All Star Sessions,Roadrunner United,0,Annihilation By The Hands Of God (Album Version) - Roadrunner United
1675,930d2be6c85315d72cab9823ec0f7bfe7e477794,SOOWVNN12A8C140775,1,Rabbit Heart (Raise It Up),Rabbit Heart EP,Florence + The Machine,2009,Rabbit Heart (Raise It Up) - Florence + The Machine
8975,e06fdac28cdd1d69d89de27868d5f02f71c2ee44,SOAAVUV12AB0186646,6,STARSTRUKK [FEATURINGKATYPERRY] (Explicit Bonus Version),WANT,3OH!3,2008,STARSTRUKK [FEATURINGKATYPERRY] (Explicit Bonus Version) - 3OH!3
1833,77cac5c3389010b64d01b30f725c24de4a5bb626,SOAZPPR12A6D4F89C6,1,Six Days,The Private Press,DJ Shadow,2002,Six Days - DJ Shadow
8733,c24ec42f0e449ff39a95a01f0795f833b898f71b,SOKQZYZ12A58A7767E,3,Ocean Avenue,Ocean Avenue,Yellowcard,2003,Ocean Avenue - Yellowcard
5978,adbd40c4f3fe78e7f49f491ea04859ea07de1ed1,SOLVQOL12A8C1411CF,1,Beach Party,No Way Down,Air France,2006,Beach Party - Air France
283,17aa9f6dbdf753831da8f38c71b66b64373de613,SOVCHUK12AB017F41F,2,Front Row,Fantasies,Metric,2009,Front Row - Metric
1013,bd8475385f0aa78830fa6dfce9e7242164b035c8,SOYMIMI12AB0181E5C,1,Heads Will Roll,It's Blitz!,Yeah Yeah Yeahs,2009,Heads Will Roll - Yeah Yeah Yeahs
1388,3f152d355d53865a2ca27ac5ceeffb7ebaea0a26,SONSOGD12B0B8092E7,2,Prego Amore,Unrest,Erlend Øye,2002,Prego Amore - Erlend Øye
274,17aa9f6dbdf753831da8f38c71b66b64373de613,SOQZKFH12AC90719F4,5,Pen And Notebook,Biggest Bluest Hi-Fi,Camera Obscura,0,Pen And Notebook - Camera Obscura
4252,8dcb524ff75e0ad0f0a80aaccadf7bbaa3b89a41,SOFRCGW12A81C21EA6,1,Hey There Delilah,Now That's What I Call Music! 68,Plain White T's,2005,Hey There Delilah - Plain White T's
8847,370190e231e1d4a9353d50038f59a0a33f7168f0,SOEYPYN12A8C134F4D,47,Brimful Of Asha - The Norman Cook Remix (Single Version),Brimful Of Asha,Cornershop,1997,Brimful Of Asha - The Norman Cook Remix (Single Version) - Cornershop
3381,95773b3725a96464c85a5121d00f2566e6e8b69b,SOTWWEV12AC9074E6F,1,Do You Remember,. . . XYZ,Moose,0,Do You Remember - Moose
484,5a905f000fc1ff3df7ca807d57edb608863db05d,SOIVKUR12A6310F0FF,1,A Whisper,A Rush Of Blood To The Head,Coldplay,2002,A Whisper - Coldplay
8346,fe76c9d535c5834e4a9b91c13e29be6460cb79c4,SOTVIVQ12A8C1384D4,1,Weenie Beenie,Foo Fighters,Foo Fighters,1992,Weenie Beenie - Foo Fighters
5335,b4adf5ac8bcba59011df7be840dda1134a47cc30,SOALHDV12A6D4F98DD,1,Hey (Album Version),Stadium Arcadium,Red Hot Chili Peppers,0,Hey (Album Version) - Red Hot Chili Peppers
162,b64cdd1a0bd907e5e00b39e345194768e330d652,SONQBUB12A6D4F8ED0,2,Angie (1993 Digital Remaster),Jump Back - The Best Of The Rolling Stones_ '71-'93,The Rolling Stones,0,Angie (1993 Digital Remaster) - The Rolling Stones
2247,1a849df9dabb15845eb932d46d81e2fd77176786,SOPSYOY12A8C142E0B,2,New Divide (Album Version),Transformers: Revenge Of The Fallen The Album,Linkin Park,2009,New Divide (Album Version) - Linkin Park
8524,8c0a675214831879573af98d632bf2684273e0d9,SOZDGEW12A8C13E748,2,One,...And Justice For All,Metallica,1988,One - Metallica
7680,f10e613636ee8e1f4d3a7f2b21ca9cd36d2e9d8d,SOOLULU12A6701FBC4,1,My Name Is,The Slim Shady LP,Eminem,1999,My Name Is - Eminem
3639,5d5e0142e54c3bb7b69f548c2ee55066c90700eb,SOSKKVC12A58291BFE,1,I'm Gonna Miss Her,Part II,Brad Paisley,2001,I'm Gonna Miss Her - Brad Paisley
1796,6f62f1c30b0f4b87db28c101ddcab89b4f5d7298,SODJPQA12A81C20609,4,Witch Doctor,Alvin & The Chipmunks / OST,Chris Classic,0,Witch Doctor - Chris Classic
3597,881f2e87fe2a45ae27d6e235c156c762ac3cb82a,SOWKKGX12A6D4FCC01,1,Rise To The Challenge,Enemy Of The Enemy,Asian Dub Foundation,2003,Rise To The Challenge - Asian Dub Foundation
8584,f694565a4451ed33e6741ede8cd3a7eaad66bb84,SOBJBEU12AF729D526,4,When The Lights Go Out,Rubber Factory,The Black Keys,2004,When The Lights Go Out - The Black Keys
4589,2475b003df9c084c1488b2e63666e8cc87112180,SOHDSHF12A8C137530,1,Sitting,On The Road To Find Out (Repackaged),Cat Stevens,1972,Sitting - Cat Stevens
1034,0afaa5d9d04bf85af720fe8cc566a41ca3e41c97,SOVERPW12A81C219CE,3,Across The Universe,Across The Universe,Jim Sturgess,2007,Across The Universe - Jim Sturgess
